Episode: 257, Total numsteps: 3859, Episode steps: 13, Reward: -99.62, Cost: 0

Episode: 258, Total numsteps: 3879, Episode steps: 20, Reward: -98.73, Cost: 0

Episode: 259, Total numsteps: 3881, Episode steps: 2, Reward: -98.46, Cost: 0

Episode: 260, Total numsteps: 3887, Episode steps: 6, Reward: -99.22, Cost: 0

Episode: 261, Total numsteps: 3897, Episode steps: 10, Reward: -97.76, Cost: 0

Episode: 262, Total numsteps: 3899, Episode steps: 2, Reward: -98.46, Cost: 0

Episode: 263, Total numsteps: 3901, Episode steps: 2, Reward: -98.05, Cost: 0

Episode: 264, Total numsteps: 3912, Episode steps: 11, Reward: -99.09, Cost: 0

Episode: 265, Total numsteps: 3927, Episode steps: 15, Reward: -97.19, Cost: 0

Episode: 266, Total numsteps: 3937, Episode steps: 10, Reward: -99.84, Cost: 0

Episode: 267, Total numsteps: 3946, Episode steps: 9, Reward: -99.85, Cost: 0

Episode: 268, Total numsteps: 3952, Episode steps: 6, Reward: -99.71, Cost: 0

Episode: 269, Total numsteps: 3960, Episode steps: 8, Reward: -98.39, Cost: 0

Episode: 270, Total numsteps: 3968, Episode steps: 8, Reward: -99.15, Cost: 0

Episode: 271, Total numsteps: 3980, Episode steps: 12, Reward: -99.35, Cost: 0

Episode: 272, Total numsteps: 4006, Episode steps: 26, Reward: -98.37, Cost: 0

Episode: 273, Total numsteps: 4013, Episode steps: 7, Reward: -99.4, Cost: 0

Episode: 274, Total numsteps: 4022, Episode steps: 9, Reward: -99.13, Cost: 0

Episode: 275, Total numsteps: 4034, Episode steps: 12, Reward: -99.35, Cost: 0

Episode: 276, Total numsteps: 4050, Episode steps: 16, Reward: -99.45, Cost: 0

Episode: 277, Total numsteps: 4069, Episode steps: 19, Reward: -99.58, Cost: 0

Episode: 278, Total numsteps: 4115, Episode steps: 46, Reward: -98.71, Cost: 0

Episode: 279, Total numsteps: 4127, Episode steps: 12, Reward: -98.28, Cost: 0

Episode: 280, Total numsteps: 4134, Episode steps: 7, Reward: -99.79, Cost: 0

Episode: 281, Total numsteps: 4155, Episode steps: 21, Reward: -98.2, Cost: 0

Episode: 282, Total numsteps: 4181, Episode steps: 26, Reward: -98.81, Cost: 0

Episode: 283, Total numsteps: 4189, Episode steps: 8, Reward: -99.19, Cost: 0

Episode: 284, Total numsteps: 4222, Episode steps: 33, Reward: -99.51, Cost: 0

Episode: 285, Total numsteps: 4235, Episode steps: 13, Reward: -98.97, Cost: 0

Episode: 286, Total numsteps: 4263, Episode steps: 28, Reward: -98.38, Cost: 0

