Episode: 163, Total numsteps: 3094, Episode steps: 15, Reward: -99.25, Cost: 0, Running Time: 0.3429

Episode: 164, Total numsteps: 3104, Episode steps: 10, Reward: -98.74, Cost: 0, Running Time: 0.2385

Episode: 165, Total numsteps: 3119, Episode steps: 15, Reward: -98.93, Cost: 0, Running Time: 0.3433

Episode: 166, Total numsteps: 3128, Episode steps: 9, Reward: -98.2, Cost: 0, Running Time: 0.2249

Episode: 167, Total numsteps: 3138, Episode steps: 10, Reward: -99.18, Cost: 0, Running Time: 0.2395

Episode: 168, Total numsteps: 3149, Episode steps: 11, Reward: -99.68, Cost: 0, Running Time: 0.2466

Episode: 169, Total numsteps: 3151, Episode steps: 2, Reward: -98.1, Cost: 0, Running Time: 0.0647

Episode: 170, Total numsteps: 3153, Episode steps: 2, Reward: -98.54, Cost: 0, Running Time: 0.0586

Episode: 171, Total numsteps: 3159, Episode steps: 6, Reward: -99.2, Cost: 0, Running Time: 0.1476

Episode: 172, Total numsteps: 3168, Episode steps: 9, Reward: -98.74, Cost: 0, Running Time: 0.2164

Episode: 173, Total numsteps: 3177, Episode steps: 9, Reward: -99.32, Cost: 0, Running Time: 0.2154

Episode: 174, Total numsteps: 3188, Episode steps: 11, Reward: -99.89, Cost: 0, Running Time: 0.2584

Episode: 175, Total numsteps: 3198, Episode steps: 10, Reward: -99.68, Cost: 0, Running Time: 0.232

Episode: 176, Total numsteps: 3207, Episode steps: 9, Reward: -99.66, Cost: 0, Running Time: 0.2122

Episode: 177, Total numsteps: 3218, Episode steps: 11, Reward: -99.78, Cost: 0, Running Time: 0.2622

Episode: 178, Total numsteps: 3227, Episode steps: 9, Reward: -99.3, Cost: 0, Running Time: 0.2063

Episode: 179, Total numsteps: 3264, Episode steps: 37, Reward: -99.81, Cost: 0, Running Time: 0.93

Episode: 180, Total numsteps: 3271, Episode steps: 7, Reward: -99.44, Cost: 0, Running Time: 0.1682

Episode: 181, Total numsteps: 3289, Episode steps: 18, Reward: -99.46, Cost: 0, Running Time: 0.4516

Episode: 182, Total numsteps: 3296, Episode steps: 7, Reward: -99.03, Cost: 0, Running Time: 0.1658

Episode: 183, Total numsteps: 3315, Episode steps: 19, Reward: -99.06, Cost: 0, Running Time: 0.466

Episode: 184, Total numsteps: 3326, Episode steps: 11, Reward: -99.67, Cost: 0, Running Time: 0.2567

Episode: 185, Total numsteps: 3342, Episode steps: 16, Reward: -99.31, Cost: 0, Running Time: 0.3784

Episode: 186, Total numsteps: 3359, Episode steps: 17, Reward: -99.65, Cost: 0, Running Time: 0.4017

Episode: 187, Total numsteps: 3373, Episode steps: 14, Reward: -98.52, Cost: 0, Running Time: 0.3337

Episode: 188, Total numsteps: 3382, Episode steps: 9, Reward: -99.78, Cost: 0, Running Time: 0.2217

Episode: 189, Total numsteps: 3418, Episode steps: 36, Reward: -99.74, Cost: 0, Running Time: 0.9153

Episode: 190, Total numsteps: 3428, Episode steps: 10, Reward: -99.47, Cost: 0, Running Time: 0.2403

Episode: 191, Total numsteps: 3440, Episode steps: 12, Reward: -99.4, Cost: 0, Running Time: 0.2792

Episode: 192, Total numsteps: 3459, Episode steps: 19, Reward: -97.59, Cost: 0, Running Time: 0.4599

Episode: 193, Total numsteps: 3483, Episode steps: 24, Reward: -98.03, Cost: 0, Running Time: 0.5859

